Tên Sản Phẩm,Giá,Thương Hiệu,Loại,Mã Sản Phẩm,Năm Đăng Ký,Dung Tích,Màu Sắc,Tình Trạng,Smartkey,Thông Tin Sản Phẩm
Vision 29V-663GE,30.800.000₫,Honda,Vision,29V-663GE,2022,110cc,Đỏ đen,Còn hàng,,"Honda Vision, smartkey, màu đỏ đen, dung tích 110cc, xe đẹp lung linh, không một lỗi nhỏ. Đây là dòng xe ga có thiết kế nhỏ nhắn, nhẹ nhàng. Kiểu dáng trẻ trung, thanh lịch. Xe phù hợp với các bạn nữ có vóc dáng mi nhon, chiều cao vừa phải. Ưu điểm nổi bật của dòng xe này là máy khoẻ, chạy êm, di chuyển ổn định ở tốc độ cao."
Wave RSX FI 29P-678HB,16.800.000₫,Honda,Wave rsx,29P-678HB,2018,110cc,Trắng đen,Còn hàng,,"Honda Wave RSX FI, màu trắng đen, dung tích 110cc. Xe có thiết kế nhỏ gọn, chắc chắn, đi đầm, máy êm, chạy bốc, di chuyển ổn định ở tốc độ cao. Ngoài ra xe còn được yêu thích bởi tính bền bỉ, tiết kiệm nhiên liệu và rất ít khi hỏng vặt. Xe tỏ ra có ưu điểm vượt trội khi đi trong các ngõ nhỏ, phố nhỏ, đường đô thị chật hẹp, nhiều lối rẽ."
Lead 29K-417GJ,19.800.000₫,Honda,Lead,29K-417GJ,2014,125cc,Nâu đen,Còn hàng,,"Honda Lead, màu nâu đen, dung tích 125cc. Lead là một trong những dòng xe đa dụng, phù hợp với thị hiếu của nhiều người tiêu dùng. Xe được thiết kế đặc biệt tiện dụng dành cho các bạn nữ. Với cốp rộng để nhiều vật dụng tiện lợi. Xe đi bốc, chạy khoẻ, máy êm, tiết kiệm nhiên liệu. Xăng chạy khoảng 1.8L/100Km."
LX 30L-48DC,14.200.000₫,Piaggio,LX,,,,,Hết hàng,,"LX màu vàng, dung tích 125cc. Giảm giá đặc biệt từ 28 triệu >> xuống>> giờ chỉ còn 25 triệu. LX Là một trong những dòng xe đang được ưa chuộng nhất trên thị trường hiện nay, Vespa LX sở hữu một thiết kế đẹp, ấn tượng mà tinh tế, đáp ứng được thị hiếu của người tiêu dùng, do đó nó đã dần dần khẳng định được đẳng cấp của người chủ sở hữu. Xe đi vững chắc, êm ái. Xăng chạy 3,4L/100Km."
Winner X ABS 22Y-222BG,39.500.000₫,Honda,Winner,,,,,Hết hàng,,"Honda Winner X ABS 22Y-222BG, dung tích 150cc, màu đen bạc vàng. Xe đẹp xuất sắc, nilon dán cả xe nên đẹp như mới, không một lỗi nhỏ. Xe được Honda trang bị động cơ PGM-FI, 4 kỳ, DOHC, xi-lanh đơn, dung tích 149,1cc, làm mát bằng dung dịch kết hợp hộp số 6 cấp, giúp sản sinh công suất tối đa 15,4 mã lực tại 9.000 vòng/phút, mô-men xoắn cực đại 13.5 Nm tại 6.500 vòng/phút."
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Wave A 29Y-01BJ,11.000.000₫,Honda,Wave A,29Y-01BJ,2007,100c,Bạc đen,Còn hàng,,"Honda Wave A, màu bạc đen, dung tích 100cc. Xe có thiết kế nhỏ gọn, chắc chắn, đi đầm, máy êm, chạy bốc, di chuyển ổn định ở tốc độ cao. Ngoài ra xe còn được yêu thích bởi tính bền bỉ, tiết kiệm nhiên liệu và rất ít khi hỏng vặt. Xe tỏ ra có ưu điểm vượt trội khi đi trong các ngõ nhỏ, phố nhỏ, đường đô thị chật hẹp, nhiều lối rẽ."
Lead 29V-211DC,20.200.000₫,Honda,Lead,29V-211DC,2013,125cc,Đỏ đen,Còn hàng,,"Honda Lead, màu đỏ đen, dung tích 125cc. Lead là một trong những dòng xe đa dụng, phù hợp với thị hiếu của nhiều người tiêu dùng. Xe được thiết kế đặc biệt tiện dụng dành cho các bạn nữ. Với cốp rộng để nhiều vật dụng tiện lợi. Xe đi bốc, chạy khoẻ, máy êm, tiết kiệm nhiên liệu. Xăng chạy khoảng 1.8L/100Km."
SH ABS 29T-677EG,66.800.000₫,Honda,SH,29T-677EG,2023,125cc,Đen,Còn hàng,,"Honda SH ABS, màu đen, dung tích 125cc, xe có khóa smartkey thông minh, an toàn, hiện đại, xe đẹp xuất sắc, đi cực ít. SH là dòng xe tay ga cao cấp của hãng xe máy nổi tiếng Honda. Với động cơ cực khóe, tiết kiệm nhiên liệu, thêm vào đó là thiết kế tạo cho người lái dáng ngồi sang trong SH đã nhanh chóng giành được sự “ưu ái” của những khách hàng có kinh tế ổn định, khá giả. "
Airblade 12B-158JF,28.500.000₫,Honda,Airblade,12B-158JF,2020,125cc,Đen đỏ,Còn hàng,,"Honda Airblade, màu đen đỏ, dung tích 125cc, xe đẹp đi rất ít. Hàng hiếm xe đẹp xuất sắc so với các xe cùng đời. Airblade là kiểu xe tay ga hiện đại rất được ưa chuộng, mạnh mẽ rất an toàn cho người sử dụng. Air Blade được đánh giá là một bước đột phá trong thiết kế hiện đại của dòng xe tay ga với các ưu điểm nổi trội về công nghệ tiên tiến. Xăng chạy 2,2L/100km."
Vision 29S-819GD,30.300.000₫,Honda,Vision,29S-819GD,2020,110cc,Đen xám,Còn hàng,,"Honda Vision, khóa smartkey, màu đen xám, dung tích 110cc, xe đẹp lung linh, không một lỗi nhỏ. Đây là dòng xe ga có thiết kế nhỏ nhắn, nhẹ nhàng. Kiểu dáng trẻ trung, thanh lịch. Xe phù hợp với các bạn nữ có vóc dáng mi nhon, chiều cao vừa phải. Ưu điểm nổi bật của dòng xe này là máy khoẻ, chạy êm, di chuyển ổn định ở tốc độ cao."
Airblade Fi 29K-622BH,19.500.000₫,Honda,Airblade,29K-622BH,2011,110cc,Đen bạc,Còn hàng,,"Honda Airblade Fi, form nhỏ, màu đen bạc, dung tích 110cc. Hàng hiếm đẹp xuất sắc so với các xe cùng đời. Airblade là kiểu xe tay ga hiện đại rất được ưa chuộng, mạnh mẽ rất an toàn cho người sử dụng. Air Blade được đánh giá là một bước đột phá trong thiết kế hiện đại của dòng xe tay ga với các ưu điểm nổi trội về công nghệ tiên tiến. Xăng chạy 2,2L/100km."
Lead 29H-197BF,14.200.000₫,Honda,Lead,29H-197BF,2012,110cc,Nâu đen,Còn hàng,,"Honda Lead, màu nâu đen, dung tích 110cc. Lead là một trong những dòng xe đa dụng, phù hợp với thị hiếu của nhiều người tiêu dùng. Xe được thiết kế đặc biệt tiện dụng dành cho các bạn nữ. Với cốp rộng để nhiều vật dụng tiện lợi. Xe đi bốc, chạy khoẻ, máy êm, tiết kiệm nhiên liệu. Xăng chạy khoảng 1.8L/100Km."
SH CBS 29H-296FD,70.000.000₫,Honda,SH,29H-296FD,2021,125cc,Đen,Còn hàng,,"Honda SH CBS, màu đen, dung tích 125cc, xe có khóa smartkey thông minh, an toàn, hiện đại, xe đẹp xuất sắc, đi cực ít. SH là dòng xe tay ga cao cấp của hãng xe máy nổi tiếng Honda. Với động cơ cực khóe, tiết kiệm nhiên liệu, thêm vào đó là thiết kế tạo cho người lái dáng ngồi sang trong SH đã nhanh chóng giành được sự “ưu ái” của những khách hàng có kinh tế ổn định, khá giả. "
Lead (SCR) 30F-33KC,9.200.000₫,Honda,Lead,30F-33KC,2007,110cc,Xanh,Còn hàng,,"Honda Lead (SCR), màu xanh, dung tích 110cc. Lead là một trong những dòng xe đa dụng, phù hợp với thị hiếu của nhiều người tiêu dùng. Xe được thiết kế đặc biệt tiện dụng dành cho các bạn nữ. Với cốp rộng để nhiều vật dụng tiện lợi. Xe đi bốc, chạy khoẻ, máy êm, tiết kiệm nhiên liệu. Xăng chạy khoảng 1.8L/100Km."
SH Mode 34B-405JJ,30.800.000₫,Honda,SH Mode,34B-405JJ,2013,125cc,Đen,Còn hàng,,"Honda SH Mode, màu đen, dung tích 125cc. Xe đẹp xuất sắc, không một lỗi nhỏ. SH là dòng xe tay ga cao cấp của hãng xe máy nổi tiếng Honda. Với động cơ cực khóe, tiết kiệm nhiên liệu, thêm vào đó là thiết kế tạo cho người lái dáng ngồi sang trong SH đã nhanh chóng giành được sự “ưu ái” của những khách hàng có kinh tế ổn định, khá giả."
Airblade Fi 29Y-120KD,13.900.000₫,Honda,Airblade,29Y-120KD,2012,110cc,Đen bạc,Còn hàng,,"Honda Airblade Fi, màu đen bạc, dung tích 110cc. Hàng hiếm đẹp xuất sắc so với các xe cùng đời. Airblade là kiểu xe tay ga hiện đại rất được ưa chuộng, mạnh mẽ rất an toàn cho người sử dụng. Air Blade được đánh giá là một bước đột phá trong thiết kế hiện đại của dòng xe tay ga với các ưu điểm nổi trội về công nghệ tiên tiến. Xăng chạy 2,2L/100km."
Future Fi 29B-961JE,21.900.000₫,Honda,Future,29B-961JE,2019,125cc,Đen,Còn hàng,,"Honda Future Fi, vành đúc, phanh đĩa, màu đen, dung tích 125cc. Xe đẹp long lanh, không một lỗi nhỏ. Future 125 FI mới vẫn sử dụng động cơ 4 kỳ, cam đơn SOHC, dung tích 125 phân khối và có phun xăng điện tử giúp tiết kiệm nhiên lFUiệu. Bản FI cho công suất tối đa 9,47 HP @ 7.500 RPM cùng momen xoắn cực đại 10,6 Nm @ 5.500 RPM. Ngoài ra xe còn được trang bị hộc đựng đồ U-Box đủ chứa một nón bảo hiểm nguyên đầu và hệ thống kiểm soát hơi xăng EVAPO thân thiện với môi trường, giúp giảm thiểu tối đa sự phát tán hơi xăng ra không khí."
Lead 29D-316DJ,29.800.000₫,Honda,Lead,29D-316DJ,2019,125cc,Vàng đen,Còn hàng,,"Honda Lead, màu vàng nâu, dung tích 125cc. Lead là một trong những dòng xe đa dụng, phù hợp với thị hiếu của nhiều người tiêu dùng. Xe được thiết kế đặc biệt tiện dụng dành cho các bạn nữ. Với cốp rộng để nhiều vật dụng tiện lợi. Xe đi bốc, chạy khoẻ, máy êm, tiết kiệm nhiên liệu. Xăng chạy khoảng 1.8L/100Km."
Shmode 29E-773GJ,56.500.000₫,Honda,SH mode,Shmode 29E-773GJ,2021,125cc,Vàng đen,Còn hàng,,"Honda SH Mode , khóa smartkey, màu vàng đen, dung tích 125cc. Xe đẹp xuất sắc, không một lỗi nhỏ. SH là dòng xe tay ga cao cấp của hãng xe máy nổi tiếng Honda. Với động cơ cực khóe, tiết kiệm nhiên liệu, thêm vào đó là thiết kế tạo cho người lái dáng ngồi sang trong SH đã nhanh chóng giành được sự “ưu ái” của những khách hàng có kinh tế ổn định, khá giả."
Vision 29V-602KF,37.500.000₫,Honda,Vision,,,,,Hết hàng,,"Honda Vision, khóa smartkey, màu đen đỏ, dung tích 110cc, xe đẹp lung linh, không một lỗi nhỏ. Đây là dòng xe ga có thiết kế nhỏ nhắn, nhẹ nhàng. Kiểu dáng trẻ trung, thanh lịch. Xe phù hợp với các bạn nữ có vóc dáng mi nhon, chiều cao vừa phải. Ưu điểm nổi bật của dòng xe này là máy khoẻ, chạy êm, di chuyển ổn định ở tốc độ cao."
Vision 69B-337KF,23.500.000₫,Honda,Vision,Vision 69B-337KF,2018,110cc,đen đỏ,Còn hàng,,"Honda Vision, khóa chìa, màu đen đỏ, dung tích 110cc, xe đẹp lung linh, không một lỗi nhỏ. Đây là dòng xe ga có thiết kế nhỏ nhắn, nhẹ nhàng. Kiểu dáng trẻ trung, thanh lịch. Xe phù hợp với các bạn nữ có vóc dáng mi nhon, chiều cao vừa phải. Ưu điểm nổi bật của dòng xe này là máy khoẻ, chạy êm, di chuyển ổn định ở tốc độ cao."
Lead 29H-450KK,21.800.000₫,Honda,Lead,Lead 29H-450KK,2014,125cc,xám,Còn hàng,,"Honda Lead, màu xám, dung tích 125cc. Lead là một trong những dòng xe đa dụng, phù hợp với thị hiếu của nhiều người tiêu dùng. Xe được thiết kế đặc biệt tiện dụng dành cho các bạn nữ. Với cốp rộng để nhiều vật dụng tiện lợi. Xe đi bốc, chạy khoẻ, máy êm, tiết kiệm nhiên liệu. Xăng chạy khoảng 1.8L/100Km."
Vision 36B-989DA,23.800.000₫,Honda,Vision,Vision 36B-989DA,2017,110cc,Đỏ,Còn hàng,,"Honda Vision, màu đỏ, dung tích 110cc, xe đẹp lung linh, không một lỗi nhỏ. Đây là dòng xe ga có thiết kế nhỏ nhắn, nhẹ nhàng. Kiểu dáng trẻ trung, thanh lịch. Xe phù hợp với các bạn nữ có vóc dáng mi nhon, chiều cao vừa phải. Ưu điểm nổi bật của dòng xe này là máy khoẻ, chạy êm, di chuyển ổn định ở tốc độ cao."
Vision 29C-982AG,32.800.000₫,Honda,Vision,Vision 29C-982AG,2022,110cc,Trắng đen bạc,Còn hàng,,"Honda Vision, màu trắng đen bạc, dung tích 110cc, xe đẹp lung linh, không một lỗi nhỏ. Đây là dòng xe ga có thiết kế nhỏ nhắn, nhẹ nhàng. Kiểu dáng trẻ trung, thanh lịch. Xe phù hợp với các bạn nữ có vóc dáng mi nhon, chiều cao vừa phải. Ưu điểm nổi bật của dòng xe này là máy khoẻ, chạy êm, di chuyển ổn định ở tốc độ cao."
Airblade 29Z-683KD,37.500.000₫,Honda,Airblade,Airblade 29Z-683KD,2021,125cc,Xanh đen,Còn hàng,,"Honda Airblade, màu xanh đen, dung tích 125cc, xe đẹp đi rất ít. Hàng hiếm xe đẹp xuất sắc so với các xe cùng đời. Airblade là kiểu xe tay ga hiện đại rất được ưa chuộng, mạnh mẽ rất an toàn cho người sử dụng. Air Blade được đánh giá là một bước đột phá trong thiết kế hiện đại của dòng xe tay ga với các ưu điểm nổi trội về công nghệ tiên tiến. Xăng chạy 2,2L/100km."
Airblade 29K-064GF,16.300.000₫,Honda,Airblade,Airblade 29K-064GF,2011,110cc,Đen bạc,Còn hàng,,"Honda Airblade, màu đen bạc, dung tích 110cc, xe đẹp đi rất ít. Hàng hiếm xe đẹp xuất sắc so với các xe cùng đời. Airblade là kiểu xe tay ga hiện đại rất được ưa chuộng, mạnh mẽ rất an toàn cho người sử dụng. Air Blade được đánh giá là một bước đột phá trong thiết kế hiện đại của dòng xe tay ga với các ưu điểm nổi trội về công nghệ tiên tiến. Xăng chạy 2,2L/100km."
WaveBlade 18G-461DD,14.200.000₫,Honda,Wave Blade,WaveBlade 18G-461DD,2021,110cc,Đỏ đen,Còn hàng,,"Honda Wave Blade, vành đúc, phanh đĩa, màu đỏ đen, dung tích 110cc. Xe có thiết kế nhỏ gọn, chắc chắn, đi đầm, máy êm, chạy bốc, di chuyển ổn định ở tốc độ cao. Ngoài ra xe còn được yêu thích bởi tính bền bỉ, tiết kiệm nhiên liệu và rất ít khi hỏng vặt. Xe tỏ ra có ưu điểm vượt trội khi đi trong các ngõ nhỏ, phố nhỏ, đường đô thị chật hẹp, nhiều lối rẽ."
CBR 29P-947AF,0₫,Honda,CBR,,,,,Hết hàng,,"Honda CBR, dung tích 150cc, nhập khẩu nguyên chiếc, màu đen xám. Honda CBR sử dụng động cơ SOHC xi-lanh đơn, sử dụng công nghệ van biến thiên VVA giúp cải thiện hiệu suất cùng mức tiêu hao nhiên liệu, cho công suất đầu ra được cải tiến lên 19 mã lực tại 10.000 vòng/phút và mô-men xoắn cực đại đạt 14.7 Nm tại 8.500 vòng/phút. Hộp số 6 cấp, hỗ trợ ly hợp kép cho việc chuyển số nhanh hơn, hệ thống ly hợp chống trượt bánh khi dồn số gấp Slipper Clutch, hệ thống này thường tích hợp trên các mẫu xe đua phân khối lớn."
Vision 29S-546GJ,24.500.000₫,Honda,Vision,29S-546GJ,2016,110cc,Xanh đen,Còn hàng,,"Honda Vision, màu xanh đen, dung tích 110cc, xe đẹp lung linh, không một lỗi nhỏ. Đây là dòng xe ga có thiết kế nhỏ nhắn, nhẹ nhàng. Kiểu dáng trẻ trung, thanh lịch. Xe phù hợp với các bạn nữ có vóc dáng mi nhon, chiều cao vừa phải. Ưu điểm nổi bật của dòng xe này là máy khoẻ, chạy êm, di chuyển ổn định ở tốc độ cao."
Lead 29P-615HK,24.500.000₫,Honda,Lead,29P-615HK,2017,125cc,Xanh nâu,Còn hàng,,"Honda Lead, màu xanh nâu, dung tích 125cc. Lead là một trong những dòng xe đa dụng, phù hợp với thị hiếu của nhiều người tiêu dùng. Xe được thiết kế đặc biệt tiện dụng dành cho các bạn nữ. Với cốp rộng để nhiều vật dụng tiện lợi. Xe đi bốc, chạy khoẻ, máy êm, tiết kiệm nhiên liệu. Xăng chạy khoảng 1.8L/100Km."
Wave A 25B-837JE,15.600.000₫,Honda,Wave A,25B-837JE,2021,110cc,Xanh đen,Còn hàng,,"Honda Wave A, màu xanh đen bạc, dung tích 110cc. Xe có thiết kế nhỏ gọn, chắc chắn, đi đầm, máy êm, chạy bốc, di chuyển ổn định ở tốc độ cao. Ngoài ra xe còn được yêu thích bởi tính bền bỉ, tiết kiệm nhiên liệu và rất ít khi hỏng vặt. Xe tỏ ra có ưu điểm vượt trội khi đi trong các ngõ nhỏ, phố nhỏ, đường đô thị chật hẹp, nhiều lối rẽ."
Lead 29D-328CG,14.300.000₫,Honda,Lead,29D-328CG,2012,110cc,Nâu đen,Còn hàng,,"Honda Lead, màu nâu đen, dung tích 110cc. Lead là một trong những dòng xe đa dụng, phù hợp với thị hiếu của nhiều người tiêu dùng. Xe được thiết kế đặc biệt tiện dụng dành cho các bạn nữ. Với cốp rộng để nhiều vật dụng tiện lợi. Xe đi bốc, chạy khoẻ, máy êm, tiết kiệm nhiên liệu. Xăng chạy khoảng 1.8L/100Km."
Vision 90B-701HE,16.800.000₫,Honda,Vision,90B-701HE,2014,110cc,Đỏ,Còn hàng,,"Honda Vision, màu đỏ, dung tích 110cc, xe đẹp lung linh, không một lỗi nhỏ. Đây là dòng xe ga có thiết kế nhỏ nhắn, nhẹ nhàng. Kiểu dáng trẻ trung, thanh lịch. Xe phù hợp với các bạn nữ có vóc dáng mi nhon, chiều cao vừa phải. Ưu điểm nổi bật của dòng xe này là máy khoẻ, chạy êm, di chuyển ổn định ở tốc độ cao."
Airblade 34S-141CC,23.300.000₫,Honda,Airblade,,,,,Hết hàng,,"Honda Airblade, màu đỏ đen, dung tích 125cc, xe đẹp đi rất ít. Hàng hiếm xe đẹp xuất sắc so với các xe cùng đời. Airblade là kiểu xe tay ga hiện đại rất được ưa chuộng, mạnh mẽ rất an toàn cho người sử dụng. Air Blade được đánh giá là một bước đột phá trong thiết kế hiện đại của dòng xe tay ga với các ưu điểm nổi trội về công nghệ tiên tiến. Xăng chạy 2,2L/100km."
Vision 29D-073HB,24.800.000₫,Honda,Vision,29D-073HB,2017,110cc,Xanh đen,Còn hàng,,"Honda Vision, màu xanh đen, dung tích 110cc, xe đẹp lung linh, không một lỗi nhỏ. Đây là dòng xe ga có thiết kế nhỏ nhắn, nhẹ nhàng. Kiểu dáng trẻ trung, thanh lịch. Xe phù hợp với các bạn nữ có vóc dáng mi nhon, chiều cao vừa phải. Ưu điểm nổi bật của dòng xe này là máy khoẻ, chạy êm, di chuyển ổn định ở tốc độ cao."
SH CBS 29P1-602EJ,62.200.000₫,Honda,SH,,,,,Hết hàng,,"Honda SH CBS, màu xanh đen, dung tích 125cc, xe có khóa smartkey thông minh, an toàn, hiện đại, xe đẹp xuất sắc, đi cực ít. SH là dòng xe tay ga cao cấp của hãng xe máy nổi tiếng Honda. Với động cơ cực khóe, tiết kiệm nhiên liệu, thêm vào đó là thiết kế tạo cho người lái dáng ngồi sang trong SH đã nhanh chóng giành được sự “ưu ái” của những khách hàng có kinh tế ổn định, khá giả. "
Vision 36G-315AC,22.500.000₫,Honda,Vision,36G-315AC,2018,110cc,Vàng đen,Còn hàng,,"Honda Vision, màu vàng nâu, dung tích 110cc, xe đẹp lung linh, không một lỗi nhỏ. Đây là dòng xe ga có thiết kế nhỏ nhắn, nhẹ nhàng. Kiểu dáng trẻ trung, thanh lịch. Xe phù hợp với các bạn nữ có vóc dáng mi nhon, chiều cao vừa phải. Ưu điểm nổi bật của dòng xe này là máy khoẻ, chạy êm, di chuyển ổn định ở tốc độ cao."
Airblade 29X-554HB,37.000.000₫,Honda,Airblade,29X-554HB,2020,125cc,Đen vàng,Còn hàng,,"Honda Airblade, khóa smartkey, màu đen, dung tích 125cc, xe đẹp đi rất ít. Hàng hiếm xe đẹp xuất sắc so với các xe cùng đời. Airblade là kiểu xe tay ga hiện đại rất được ưa chuộng, mạnh mẽ rất an toàn cho người sử dụng. Air Blade được đánh giá là một bước đột phá trong thiết kế hiện đại của dòng xe tay ga với các ưu điểm nổi trội về công nghệ tiên tiến. Xăng chạy 2,2L/100km."
Vision 29T-161DH,38.000.000₫,Honda,Vision,,,,,Hết hàng,,"Honda Vision, khóa smartkey, màu xám đen, dung tích 110cc, xe đẹp lung linh, không một lỗi nhỏ. Đây là dòng xe ga có thiết kế nhỏ nhắn, nhẹ nhàng. Kiểu dáng trẻ trung, thanh lịch. Xe phù hợp với các bạn nữ có vóc dáng mi nhon, chiều cao vừa phải. Ưu điểm nổi bật của dòng xe này là máy khoẻ, chạy êm, di chuyển ổn định ở tốc độ cao."
Lead 29V-556JA,36.500.000₫,Honda,Lead,29V-556JA,2020,125cc,Đen đỏ,Còn hàng,,"Honda Lead, khóa smartkey, màu đen đỏ, dung tích 125cc. Lead là một trong những dòng xe đa dụng, phù hợp với thị hiếu của nhiều người tiêu dùng. Xe được thiết kế đặc biệt tiện dụng dành cho các bạn nữ. Với cốp rộng để nhiều vật dụng tiện lợi. Xe đi bốc, chạy khoẻ, máy êm, tiết kiệm nhiên liệu. Xăng chạy khoảng 1.8L/100Km."
Lead 29P-671JE,29.500.000₫,Honda,Lead,29P-671JE,2018,125cc,Xanh đen,Còn hàng,,"Honda Lead, khóa smartkey, màu xanh đen, dung tích 125cc. Lead là một trong những dòng xe đa dụng, phù hợp với thị hiếu của nhiều người tiêu dùng. Xe được thiết kế đặc biệt tiện dụng dành cho các bạn nữ. Với cốp rộng để nhiều vật dụng tiện lợi. Xe đi bốc, chạy khoẻ, máy êm, tiết kiệm nhiên liệu. Xăng chạy khoảng 1.8L/100Km."
Lead 24Y-222GA,33.300.000₫,Honda,Lead,24Y-222GA,2021,125cc,Đỏ đen,Còn hàng,,"Honda Lead, khóa smartkey, màu đỏ, dung tích 125cc. Lead là một trong những dòng xe đa dụng, phù hợp với thị hiếu của nhiều người tiêu dùng. Xe được thiết kế đặc biệt tiện dụng dành cho các bạn nữ. Với cốp rộng để nhiều vật dụng tiện lợi. Xe đi bốc, chạy khoẻ, máy êm, tiết kiệm nhiên liệu. Xăng chạy khoảng 1.8L/100Km."
